ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,CE,2305407,23140720,municipal,fundamental,iniciais (1-5),89.2,0.80379802,229.16,229.55,6.5111618,5.2,4.4
2019,RS,4314902,43106781,estadual,fundamental,iniciais (1-5),86.6,0.868806,239.77,240.47,6.912189,6.0,6.0
2019,SE,2807105,28009754,municipal,fundamental,iniciais (1-5),96.3,0.97345102,195.97,179.16,4.9617648,4.8,4.8
2019,MG,3129806,31331287,municipal,fundamental,iniciais (1-5),95.8,0.95689499,227.41,216.02,6.231575,6.0,6.2
2019,SP,3509502,35059158,municipal,fundamental,iniciais (1-5),95.4,0.95756602,228.78,227.16,6.460638,6.2,6.5
2019,DF,5300108,53002911,estadual,fundamental,iniciais (1-5),96.5,0.966654,225.38,214.22,6.16048,6.0,6.2
2019,CE,2306207,23125632,municipal,fundamental,iniciais (1-5),100.0,1.0,260.14,250.63,7.4856472,7.5,
2019,PA,1503309,15523160,municipal,fundamental,iniciais (1-5),74.6,0.78935802,167.3,150.94,3.9011641,3.1,
2019,RS,4303103,43185690,municipal,fundamental,iniciais (1-5),98.0,0.97048301,243.05,229.13,6.7684121,6.6,6.7
2019,AM,1303106,13036823,municipal,fundamental,iniciais (1-5),89.8,0.90678602,166.75,165.85,4.1617589,3.8,4.1
2019,SC,4216602,42141290,municipal,fundamental,iniciais (1-5),96.7,0.974424,250.5,238.19,7.0756869,6.9,5.4
2019,RS,4321451,43155456,municipal,fundamental,iniciais (1-5),92.2,0.92373198,232.25,214.42,6.2952232,5.8,6.8
2019,BA,2913606,29302153,municipal,fundamental,iniciais (1-5),90.2,0.90129101,219.38,215.25,6.064703,5.5,5.2
2019,MG,3163706,31179078,municipal,fundamental,iniciais (1-5),91.8,0.91582501,249.6,231.24,6.9317751,6.3,6.1
2019,SP,3550308,35191905,estadual,fundamental,iniciais (1-5),100.0,1.0,216.13,198.44,5.6968532,5.7,5.7
2019,CE,2300754,23247401,municipal,fundamental,iniciais (1-5),100.0,1.0,225.88,210.27,6.098022,6.1,5.0
2019,PA,1508308,15099121,municipal,fundamental,iniciais (1-5),85.5,0.862445,164.08,144.52,3.7233591,3.2,3.7
2019,SP,3550308,35578691,municipal,fundamental,iniciais (1-5),100.0,1.0,228.42,222.07,6.3610401,6.4,
2019,DF,5300108,53005783,estadual,fundamental,iniciais (1-5),100.0,1.0,256.73,234.75,7.1318531,7.1,6.6
2019,RS,4305702,43046991,estadual,fundamental,iniciais (1-5),98.1,0.98129803,241.02,223.22,6.6223979,6.5,6.7
2019,RS,4303905,43033725,municipal,fundamental,iniciais (1-5),100.0,1.0,231.3,235.19,6.6545482,6.7,6.2
2019,RJ,3304557,33087490,municipal,fundamental,iniciais (1-5),96.4,0.96306002,241.66,232.91,6.8108029,6.6,6.3
2019,MG,3105707,31128368,estadual,fundamental,iniciais (1-5),99.4,0.99258602,203.58,192.6,5.3511758,5.3,6.2
2019,SC,4210407,42121906,municipal,fundamental,iniciais (1-5),96.1,0.96185601,222.36,201.58,5.8726549,5.6,5.4
2019,PA,1501501,15043827,municipal,fundamental,iniciais (1-5),100.0,1.0,206.32,191.99,5.3921852,5.4,
2019,MG,3136702,31071307,municipal,fundamental,iniciais (1-5),97.9,0.98118299,205.57,186.78,5.2833261,5.2,5.8
2019,RN,2410405,24050954,municipal,fundamental,iniciais (1-5),88.1,0.88887203,184.66,168.39,4.550108,4.0,4.5
2019,PR,4128559,41079329,municipal,fundamental,iniciais (1-5),85.6,0.87594903,238.58,222.16,6.5567522,5.7,6.0
2019,PE,2601706,26050293,municipal,fundamental,iniciais (1-5),83.1,0.83603001,202.52,195.8,5.3891201,4.5,5.6
2019,MA,2112902,21278113,municipal,fundamental,iniciais (1-5),94.4,0.95209002,163.61,138.39,3.6029351,3.4,4.2
2019,GO,5201108,52021165,municipal,fundamental,iniciais (1-5),94.6,0.945391,229.08,214.58,6.2374449,5.9,6.4
2019,CE,2309458,23058382,municipal,fundamental,iniciais (1-5),100.0,1.0,237.19,223.13,6.5474892,6.5,7.1
2019,MG,3135209,31062383,estadual,fundamental,iniciais (1-5),100.0,1.0,235.33,230.67,6.649456,6.6,6.2
2019,PB,2504009,25074393,municipal,fundamental,iniciais (1-5),89.2,0.88961601,187.16,173.46,4.6896272,4.2,4.2
2019,PR,4108106,41019806,municipal,fundamental,iniciais (1-5),94.6,0.93415999,258.8,238.49,7.239357,6.8,5.6
2019,MA,2102804,21175292,municipal,fundamental,iniciais (1-5),92.7,0.93085402,176.63,146.24,3.993763,3.7,5.5
2019,BA,2922102,29086833,municipal,fundamental,iniciais (1-5),90.0,0.90542102,184.47,173.61,4.6410179,4.2,5.7
2019,AM,1303569,13075810,municipal,fundamental,iniciais (1-5),88.2,0.86129498,187.25,165.36,4.5442529,3.9,4.2
2019,CE,2304400,23324252,municipal,fundamental,iniciais (1-5),98.8,0.98775101,221.38,214.13,6.0825071,6.0,5.3
2019,RN,2408102,24059013,municipal,fundamental,iniciais (1-5),98.0,0.97755003,196.91,174.44,4.8938861,4.8,5.7
2019,PA,1501402,15039706,estadual,fundamental,iniciais (1-5),85.9,0.86264402,210.55,206.16,5.7307281,4.9,5.0
2019,MG,3140803,31069370,municipal,fundamental,iniciais (1-5),95.3,0.95756,214.97,204.08,5.7772608,5.5,5.4
2019,BA,2928703,29172608,municipal,fundamental,iniciais (1-5),90.4,0.92728698,194.16,181.71,4.9732141,4.6,4.0
2019,PR,4100301,41141342,municipal,fundamental,iniciais (1-5),96.1,0.96126699,228.35,209.5,6.1311498,5.9,5.9
2019,RS,4305108,43043798,municipal,fundamental,iniciais (1-5),91.9,0.91456199,222.25,214.02,6.0967379,5.6,5.5
2019,SC,4202404,42015391,municipal,fundamental,iniciais (1-5),85.7,0.841039,230.44,226.1,6.472672,5.4,5.0
2019,CE,2313401,23012749,municipal,fundamental,iniciais (1-5),99.3,0.99406201,201.52,192.55,5.3109541,5.3,5.7
2019,PB,2504009,25075020,municipal,fundamental,iniciais (1-5),92.7,0.92223197,228.47,210.83,6.1574402,5.7,5.5
2019,GO,5215603,52049663,municipal,fundamental,iniciais (1-5),96.0,0.96300399,194.91,185.94,5.0646272,4.9,4.4
2019,RN,2414209,24062936,municipal,fundamental,iniciais (1-5),90.3,0.912673,179.17,175.67,4.5777001,4.2,4.1
2019,PR,4106902,41134214,municipal,fundamental,iniciais (1-5),100.0,1.0,241.33,231.91,6.7865052,6.8,7.1
2019,PE,2602605,26150417,municipal,fundamental,iniciais (1-5),91.7,0.91873002,202.46,186.77,5.223793,4.8,4.8
2019,BA,2927408,29190339,municipal,fundamental,iniciais (1-5),93.5,0.951397,237.0,211.57,6.3336811,6.0,4.4
2019,RJ,3304805,33013268,municipal,fundamental,iniciais (1-5),81.6,0.82760501,235.58,209.35,6.2662182,5.2,
2019,SC,4211900,42004403,municipal,fundamental,iniciais (1-5),93.4,0.93350703,236.38,215.02,6.384758,6.0,5.9
2019,AC,1200401,12021601,estadual,fundamental,iniciais (1-5),89.2,0.88608998,216.03,210.16,5.9080439,5.2,6.0
2019,SP,3550308,35223232,municipal,fundamental,iniciais (1-5),97.2,0.974828,228.19,214.66,6.2219148,6.1,6.1
2019,TO,1716307,17009669,municipal,fundamental,iniciais (1-5),81.7,0.81584901,203.36,195.58,5.4011598,4.4,5.4
2019,SC,4209904,42026547,municipal,fundamental,iniciais (1-5),99.1,0.99130797,202.72,192.27,5.3287549,5.3,5.8
2019,RJ,3304557,33063192,municipal,fundamental,iniciais (1-5),95.3,0.95617002,212.99,194.49,5.564929,5.3,6.0
2019,BA,2905206,29410177,municipal,fundamental,iniciais (1-5),88.6,0.90153301,207.32,188.83,5.3539958,4.8,5.0
2019,BA,2924678,29348552,municipal,fundamental,iniciais (1-5),75.0,0.75673699,224.13,218.16,6.2080789,4.7,4.9
2019,AL,2700904,27009572,municipal,fundamental,iniciais (1-5),89.8,0.90148997,215.39,191.47,5.5561938,5.0,5.4
2019,GO,5217609,52092631,municipal,fundamental,iniciais (1-5),86.6,0.87889898,200.3,194.66,5.326035,4.7,5.4
2019,AC,1200203,12021920,municipal,fundamental,iniciais (1-5),91.4,0.90680802,225.39,216.03,6.1935792,5.6,6.2
2019,AM,1301902,13067966,municipal,fundamental,iniciais (1-5),92.4,0.92344302,201.75,199.38,5.4395161,5.0,4.5
2019,DF,5300108,53005775,estadual,fundamental,iniciais (1-5),97.1,0.97606599,236.36,225.3,6.5712848,6.4,6.2
2019,CE,2302206,23058609,municipal,fundamental,iniciais (1-5),94.9,0.94670898,224.55,233.57,6.4962759,6.2,4.3
2019,SP,3549904,35495300,municipal,fundamental,iniciais (1-5),100.0,1.0,257.2,228.19,7.021359,7.0,6.5
2019,RN,2410702,24019399,municipal,fundamental,iniciais (1-5),92.5,0.91253102,212.17,201.44,5.6760168,5.2,4.7
2019,PR,4125803,41040686,municipal,fundamental,iniciais (1-5),97.5,0.97184598,260.41,235.24,7.2108002,7.0,6.0
2019,SP,3543402,35925676,estadual,fundamental,iniciais (1-5),93.2,0.92879802,241.13,224.25,6.6434159,6.2,5.9
2019,CE,2313351,23046554,municipal,fundamental,iniciais (1-5),93.5,0.91825902,201.47,195.16,5.3574462,4.9,5.0
2019,MA,2112852,21093970,municipal,fundamental,iniciais (1-5),92.4,0.92374003,172.16,164.58,4.2421031,3.9,3.9
2019,MG,3142908,31081167,estadual,fundamental,iniciais (1-5),100.0,1.0,237.22,204.3,6.2058878,6.2,6.7
2019,SE,2800308,28018656,estadual,fundamental,iniciais (1-5),95.8,0.96179599,212.97,204.67,5.7498202,5.5,6.0
2019,PE,2615607,26008734,municipal,fundamental,iniciais (1-5),100.0,1.0,207.41,195.99,5.4859042,5.5,5.1
2019,PR,4111803,41047168,municipal,fundamental,iniciais (1-5),83.9,0.83055401,204.61,189.77,5.3191872,4.4,4.2
2019,GO,5204409,52089959,municipal,fundamental,iniciais (1-5),100.0,1.0,224.19,219.3,6.2299418,6.2,6.3
2019,PR,4119905,41386434,municipal,fundamental,iniciais (1-5),100.0,1.0,215.0,209.52,5.8765612,5.9,6.2
2019,PI,2206704,22060065,municipal,fundamental,iniciais (1-5),98.1,0.97563702,175.49,158.28,4.1910992,4.1,4.0
2019,BA,2924009,29373140,municipal,fundamental,iniciais (1-5),77.3,0.73682302,229.19,210.61,6.1673708,4.5,5.8
2019,AM,1301001,13008781,estadual,fundamental,iniciais (1-5),94.8,0.95658499,235.89,215.92,6.3919611,6.1,4.5
2019,AL,2701803,27004414,municipal,fundamental,iniciais (1-5),98.8,0.98827499,228.03,193.52,5.8346882,5.8,4.1
2019,RS,4304408,43035655,estadual,fundamental,iniciais (1-5),88.2,0.86606002,255.8,243.72,7.2773781,6.3,6.5
2019,AM,1302405,13047566,municipal,fundamental,iniciais (1-5),87.9,0.89128202,149.0,142.66,3.4017551,3.0,3.5
2019,MT,5108105,51048817,estadual,fundamental,iniciais (1-5),97.6,0.97826099,216.41,194.49,5.6301961,5.5,5.1
2019,MG,3133006,31274569,municipal,fundamental,iniciais (1-5),97.2,0.95739698,215.52,196.0,5.6410389,5.4,6.4
2019,PR,4127908,41010876,municipal,fundamental,iniciais (1-5),92.6,0.88831598,195.36,177.86,4.9262972,4.4,6.3
2019,BA,2905701,29357195,municipal,fundamental,iniciais (1-5),85.4,0.85307598,225.11,214.88,6.1671362,5.3,4.9
2019,PA,1505106,15577465,municipal,fundamental,iniciais (1-5),90.8,0.91826397,193.3,175.69,4.8475389,4.5,4.5
2019,MG,3170404,31312274,municipal,fundamental,iniciais (1-5),100.0,1.0,207.72,203.72,5.6323571,5.6,5.8
2019,MA,2112100,21151440,municipal,fundamental,iniciais (1-5),90.4,0.904432,183.83,175.38,4.6613588,4.2,4.9
2019,MG,3122306,31033251,estadual,fundamental,iniciais (1-5),100.0,1.0,229.25,229.53,6.5126982,6.5,6.5
2019,MA,2111102,21172943,municipal,fundamental,iniciais (1-5),80.5,0.81181997,202.25,180.94,5.1137948,4.2,4.5
2019,SC,4216206,42131090,municipal,fundamental,iniciais (1-5),93.8,0.93619502,214.1,208.83,5.8470221,5.5,5.9
2019,SP,3554003,35004386,municipal,fundamental,iniciais (1-5),99.6,0.99634701,228.33,208.33,6.1095052,6.1,6.2
2019,MA,2104073,21183066,municipal,fundamental,iniciais (1-5),96.2,0.96638697,205.22,184.74,5.2393742,5.1,4.5
2019,MG,3113305,31096814,municipal,fundamental,iniciais (1-5),96.8,0.9673,223.3,200.14,5.864594,5.7,4.6
2019,AL,2706000,27011585,municipal,fundamental,iniciais (1-5),95.3,0.94687802,194.49,183.21,5.0067849,4.7,4.2
2019,SP,3549805,35289206,municipal,fundamental,iniciais (1-5),98.0,0.97722203,252.63,240.67,7.1612358,7.0,7.7
2019,MA,2100154,21134294,municipal,fundamental,iniciais (1-5),96.3,0.95493299,244.0,202.77,6.307641,6.0,6.2
2019,RS,4301636,43046126,estadual,fundamental,iniciais (1-5),100.0,1.0,221.75,228.74,6.3548322,6.4,6.7
2019,SC,4216206,42021740,municipal,fundamental,iniciais (1-5),91.3,0.892138,214.05,197.58,5.641531,5.0,6.4
2019,MG,3103900,31325112,municipal,fundamental,iniciais (1-5),100.0,1.0,256.55,234.88,7.1307812,7.1,7.6
2019,PB,2509701,25045342,municipal,fundamental,iniciais (1-5),100.0,1.0,237.02,230.39,6.6766171,6.7,5.5
2019,SP,3542008,35198821,municipal,fundamental,iniciais (1-5),100.0,1.0,265.55,234.83,7.3018098,7.3,6.5
2019,SP,3556503,35395959,municipal,fundamental,iniciais (1-5),98.9,0.989595,245.99,227.11,6.7879729,6.7,6.6
2019,MA,2101202,21101000,municipal,fundamental,iniciais (1-5),100.0,1.0,213.32,196.55,5.6086812,5.6,5.4
2019,RJ,3300506,33020604,municipal,fundamental,iniciais (1-5),78.3,0.77877998,229.75,222.52,6.394413,5.0,
2019,BA,2926707,29336767,municipal,fundamental,iniciais (1-5),85.6,0.86116499,214.97,180.88,5.3554521,4.6,4.4
2019,SC,4210100,42038839,municipal,fundamental,iniciais (1-5),100.0,1.0,229.02,213.36,6.2139359,6.2,6.1
2019,CE,2305506,23142367,municipal,fundamental,iniciais (1-5),97.3,0.97077399,209.11,178.71,5.2039738,5.1,6.3
2019,MA,2110609,21254613,municipal,fundamental,iniciais (1-5),95.9,0.94024098,209.67,187.66,5.3775792,5.1,5.8
2019,PR,4105805,41126025,municipal,fundamental,iniciais (1-5),95.1,0.94301301,252.83,237.0,7.0981441,6.7,6.3
2019,RJ,3304755,33013870,municipal,fundamental,iniciais (1-5),76.1,0.76315302,237.02,212.24,6.3462439,4.8,5.3
2019,AL,2701605,27001164,municipal,fundamental,iniciais (1-5),99.1,0.98695302,196.55,195.91,5.2770071,5.2,4.9
2019,CE,2308906,23008768,municipal,fundamental,iniciais (1-5),100.0,1.0,252.8,241.96,7.1877532,7.2,5.1
2019,PB,2507507,25114875,municipal,fundamental,iniciais (1-5),83.3,0.83065897,230.03,210.28,6.1775842,5.1,4.8
2019,GO,5203962,52040437,municipal,fundamental,iniciais (1-5),95.3,0.95051402,226.13,202.61,5.9633288,5.7,5.7
2019,PB,2506905,25081675,municipal,fundamental,iniciais (1-5),87.9,0.86870599,214.53,204.07,5.7686911,5.0,
2019,MA,2101251,21027650,municipal,fundamental,iniciais (1-5),93.7,0.933577,197.16,188.96,5.1624751,4.8,4.7
2019,GO,5208004,52046931,municipal,fundamental,iniciais (1-5),96.1,0.964872,198.16,184.49,5.1000962,4.9,4.8
2019,MA,2103109,21004439,municipal,fundamental,iniciais (1-5),95.9,0.96330303,214.21,213.11,5.9267569,5.7,5.2
2019,PE,2608255,26077523,municipal,fundamental,iniciais (1-5),95.7,0.95452201,225.27,200.35,5.9060168,5.6,5.7
2019,BA,2933604,29423155,municipal,fundamental,iniciais (1-5),98.4,0.98501599,223.08,196.69,5.797677,5.7,6.1
2019,BA,2928109,29358744,municipal,fundamental,iniciais (1-5),91.5,0.907695,191.02,168.91,4.6807542,4.2,5.0
2019,BA,2914653,29320836,municipal,fundamental,iniciais (1-5),86.9,0.85293698,194.96,180.55,4.9675732,4.2,4.1
2019,SC,4204301,42133173,municipal,fundamental,iniciais (1-5),92.1,0.90922803,204.71,200.74,5.5205498,5.0,6.5
2019,PA,1500800,15163822,municipal,fundamental,iniciais (1-5),99.2,0.99188203,227.16,226.97,6.4262671,6.4,6.2
2019,ES,3201308,32064870,estadual,fundamental,iniciais (1-5),94.5,0.94616097,207.75,201.96,5.6007471,5.3,5.1
2019,SC,4211876,42073480,municipal,fundamental,iniciais (1-5),100.0,1.0,261.89,243.66,7.3923259,7.4,6.9
2019,PR,4101507,41026748,municipal,fundamental,iniciais (1-5),99.2,0.99173599,255.27,234.83,7.1054358,7.0,6.7
2019,RS,4313805,43096514,estadual,fundamental,iniciais (1-5),97.9,0.98717397,240.99,230.42,6.7527351,6.7,6.5
2019,SP,3537800,35274574,municipal,fundamental,iniciais (1-5),100.0,1.0,268.2,247.3,7.5791101,7.6,7.0
2019,RR,1400308,14008327,municipal,fundamental,iniciais (1-5),90.4,0.898736,182.08,163.92,4.4195981,4.0,4.6
2019,SE,2803500,28011694,municipal,fundamental,iniciais (1-5),89.6,0.91182899,221.92,208.77,5.995358,5.5,
2019,BA,2902609,29080991,municipal,fundamental,iniciais (1-5),79.0,0.78994501,241.47,226.58,6.6920772,5.3,5.0
2019,SP,3509502,35909397,estadual,fundamental,iniciais (1-5),98.7,0.98673099,249.61,228.19,6.8767018,6.8,6.4
2019,MS,5003207,50000217,estadual,fundamental,iniciais (1-5),89.8,0.896896,204.89,188.89,5.3089042,4.8,5.0
2019,PE,2610905,26152550,municipal,fundamental,iniciais (1-5),95.4,0.95612597,221.14,201.77,5.8530178,5.6,5.4
2019,PA,1503077,15560813,municipal,fundamental,iniciais (1-5),70.3,0.71411097,173.55,162.14,4.224257,3.0,4.0
2019,MT,5104104,51205823,municipal,fundamental,iniciais (1-5),100.0,1.0,200.03,187.16,5.184701,5.2,5.2
2019,PA,1508100,15551440,municipal,fundamental,iniciais (1-5),75.9,0.70345402,160.3,149.0,3.7323041,2.6,3.5
2019,MG,3106200,31001210,estadual,fundamental,iniciais (1-5),100.0,1.0,240.69,241.21,6.9430099,6.9,7.0
2019,PE,2609600,26114070,municipal,fundamental,iniciais (1-5),100.0,1.0,247.08,207.97,6.4609652,6.5,4.5
2019,MG,3139409,31075345,estadual,fundamental,iniciais (1-5),100.0,1.0,240.24,234.0,6.8033309,6.8,5.9
2019,PE,2615508,26092328,municipal,fundamental,iniciais (1-5),96.7,0.96330303,194.82,178.69,4.9310832,4.8,4.6
2019,SP,3520509,35275438,municipal,fundamental,iniciais (1-5),98.9,0.99109399,258.55,243.32,7.3224039,7.3,6.9
2019,MG,3110004,31008346,municipal,fundamental,iniciais (1-5),93.5,0.92783499,268.92,240.47,7.4682961,6.9,6.5
2019,SC,4209151,42024463,municipal,fundamental,iniciais (1-5),99.2,0.99130797,214.61,192.36,5.5574908,5.5,6.3
2019,CE,2305001,23009667,municipal,fundamental,iniciais (1-5),100.0,1.0,216.13,215.69,6.0106802,6.0,7.4
2019,CE,2303709,23063920,municipal,fundamental,iniciais (1-5),98.6,0.97943699,201.05,193.55,5.3203478,5.2,6.0
2019,BA,2930758,29395682,municipal,fundamental,iniciais (1-5),100.0,1.0,182.41,146.27,4.104805,4.1,4.5
2019,SP,3550308,35053348,municipal,fundamental,iniciais (1-5),99.3,0.993321,221.33,216.8,6.1300988,6.1,6.1
2019,MG,3169703,31031518,municipal,fundamental,iniciais (1-5),100.0,1.0,243.97,219.27,6.6068869,6.6,5.8
2019,MA,2105302,21096031,municipal,fundamental,iniciais (1-5),100.0,1.0,175.71,164.91,4.3158422,4.3,5.4
2019,MG,3106200,31283002,municipal,fundamental,iniciais (1-5),90.8,0.91145098,225.22,210.38,6.0876079,5.5,6.0
2019,SP,3513405,35429533,municipal,fundamental,iniciais (1-5),96.2,0.97081703,247.89,244.24,7.1356959,6.9,5.8
2019,RJ,3301850,33051259,municipal,fundamental,iniciais (1-5),85.1,0.83935797,227.17,211.83,6.151185,5.2,4.4
2019,SP,3509502,35901088,estadual,fundamental,iniciais (1-5),100.0,1.0,236.44,211.82,6.3277302,6.3,5.9
2019,MA,2109601,21026491,municipal,fundamental,iniciais (1-5),97.0,0.973355,226.21,213.57,6.1641278,6.0,5.8
2019,AM,1300607,13005103,municipal,fundamental,iniciais (1-5),94.8,0.9375,165.28,152.11,3.8842599,3.6,4.1
2019,PA,1501402,15040720,municipal,fundamental,iniciais (1-5),95.1,0.95626199,214.53,209.91,5.8750548,5.6,5.4
2019,PE,2608750,26038510,municipal,fundamental,iniciais (1-5),94.7,0.94580901,194.5,185.94,5.0567942,4.8,5.1
2019,AC,1200401,12012408,estadual,fundamental,iniciais (1-5),88.1,0.86991602,208.1,195.33,5.4870629,4.8,5.4
2019,PB,2512903,25088220,estadual,fundamental,iniciais (1-5),76.1,0.751652,188.27,183.0,4.8844552,3.7,4.5
2019,MG,3170206,31214141,municipal,fundamental,iniciais (1-5),87.2,0.86172903,227.91,221.47,6.3403888,5.5,6.2
2019,PR,4107652,41134532,municipal,fundamental,iniciais (1-5),96.9,0.97330701,248.08,234.53,6.9627681,6.8,6.5
2019,SC,4205407,42001005,municipal,fundamental,iniciais (1-5),99.7,0.99778003,220.32,212.3,6.0288148,6.0,6.7
2019,MT,5102702,51022648,municipal,fundamental,iniciais (1-5),99.5,0.99572802,196.39,190.52,5.1761441,5.2,5.3
2019,GO,5215231,52085864,municipal,fundamental,iniciais (1-5),93.3,0.93115401,210.69,179.44,5.2477722,4.9,
2019,MG,3170206,31167657,estadual,fundamental,iniciais (1-5),100.0,1.0,240.21,233.11,6.7867589,6.8,5.5
2019,SC,4209102,42021014,municipal,fundamental,iniciais (1-5),99.0,0.992374,319.55,291.25,9.3579807,9.3,7.4
2019,SC,4204608,42011310,estadual,fundamental,iniciais (1-5),92.7,0.94596398,226.08,224.07,6.352747,6.0,7.0
2019,MS,5005707,50021460,estadual,fundamental,iniciais (1-5),89.4,0.88937902,214.67,213.27,5.938817,5.3,4.8
2019,CE,2312908,23254467,municipal,fundamental,iniciais (1-5),99.7,0.996759,310.57,276.01,8.9096966,8.9,5.9
2019,RS,4313441,43211860,municipal,fundamental,iniciais (1-5),95.6,0.95556599,208.03,209.61,5.7453728,5.5,
2019,PI,2207702,22133291,municipal,fundamental,iniciais (1-5),93.4,0.93882698,232.17,226.05,6.5051508,6.1,
2019,MG,3106200,31001953,estadual,fundamental,iniciais (1-5),100.0,1.0,214.61,213.55,5.9425821,5.9,6.1
2019,BA,2933257,29369339,municipal,fundamental,iniciais (1-5),78.9,0.75125498,233.83,220.24,6.4308209,4.8,4.3
2019,PA,1502301,15582493,municipal,fundamental,iniciais (1-5),92.5,0.92852098,212.75,207.41,5.7954488,5.4,4.4
2019,PE,2607901,26109875,municipal,fundamental,iniciais (1-5),98.1,0.97707403,244.8,224.41,6.716363,6.6,4.5
2019,PI,2205854,22006540,municipal,fundamental,iniciais (1-5),92.1,0.91141999,198.41,183.72,5.0910578,4.6,4.9
2019,PE,2604007,26172917,municipal,fundamental,iniciais (1-5),97.0,0.96725398,202.19,191.72,5.30865,5.1,5.4
2019,SP,3550308,35002756,estadual,fundamental,iniciais (1-5),99.6,0.99619001,252.36,239.71,7.138638,7.1,6.9
2019,SP,3502903,35226294,municipal,fundamental,iniciais (1-5),98.9,0.988931,256.98,245.22,7.3271689,7.2,7.0
2019,MG,3151008,31056316,municipal,fundamental,iniciais (1-5),100.0,1.0,270.52,236.67,7.4301119,7.4,4.8
2019,SP,3550308,35201947,municipal,fundamental,iniciais (1-5),99.3,0.99353802,221.39,205.02,5.9170618,5.9,6.2
2019,AL,2702306,27042685,municipal,fundamental,iniciais (1-5),100.0,1.0,250.69,210.83,6.5816679,6.6,6.2
2019,RS,4308201,43063152,estadual,fundamental,iniciais (1-5),98.4,0.98426902,247.27,235.32,6.9614911,6.9,7.0
2019,TO,1713205,17014719,municipal,fundamental,iniciais (1-5),88.6,0.90864098,204.11,188.91,5.2940092,4.8,4.5
2019,RS,4313409,43092675,municipal,fundamental,iniciais (1-5),96.3,0.95905203,247.94,247.38,7.1937408,6.9,6.2
2019,PE,2605608,26016737,municipal,fundamental,iniciais (1-5),95.2,0.94570601,201.47,175.46,4.9992728,4.7,5.9
2019,RS,4317202,43126006,municipal,fundamental,iniciais (1-5),94.0,0.936046,238.28,232.61,6.7408452,6.3,6.0
2019,PE,2608404,26078201,municipal,fundamental,iniciais (1-5),92.0,0.91929501,230.41,214.21,6.2559171,5.8,4.3
2019,DF,5300108,53001451,estadual,fundamental,iniciais (1-5),97.3,0.96781498,252.67,241.78,7.1823721,7.0,6.7
2019,RJ,3306206,33101779,municipal,fundamental,iniciais (1-5),92.9,0.923733,238.94,234.66,6.7907128,6.3,6.1
2019,AM,1304062,13304283,estadual,fundamental,iniciais (1-5),93.2,0.93415099,202.0,188.75,5.250833,4.9,4.8
2019,ES,3202306,32046928,municipal,fundamental,iniciais (1-5),94.0,0.93258297,215.36,191.91,5.5634308,5.2,5.1
2019,AC,1200203,12001031,estadual,fundamental,iniciais (1-5),95.8,0.964468,163.63,150.46,3.8225901,3.7,
2019,SP,3547809,35091005,municipal,fundamental,iniciais (1-5),96.6,0.96435398,223.75,209.36,6.0410089,5.8,6.8
2019,AL,2706307,27013910,municipal,fundamental,iniciais (1-5),99.3,0.98827499,232.25,202.27,6.0741229,6.0,5.6
2019,MA,2100477,21230595,municipal,fundamental,iniciais (1-5),100.0,1.0,210.41,186.97,5.3793378,5.4,5.9
2019,CE,2304459,23124920,municipal,fundamental,iniciais (1-5),93.0,0.92505503,240.97,222.0,6.599453,6.1,6.0
2019,MA,2101202,21100993,municipal,fundamental,iniciais (1-5),98.6,0.97896802,210.02,205.27,5.7044411,5.6,5.9
2019,PR,4106902,41133668,municipal,fundamental,iniciais (1-5),99.0,0.99087399,228.35,217.05,6.2684231,6.2,6.4
2019,DF,5300108,53005112,estadual,fundamental,iniciais (1-5),95.7,0.95928699,232.85,221.11,6.427937,6.2,6.5
2019,BA,2907202,29021774,municipal,fundamental,iniciais (1-5),84.6,0.85789901,163.0,152.38,3.8456581,3.3,3.9
2019,MG,3118601,31220957,municipal,fundamental,iniciais (1-5),96.4,0.96497297,234.42,230.3,6.6251798,6.4,7.0
2019,GO,5218805,52054829,municipal,fundamental,iniciais (1-5),100.0,1.0,285.29,269.51,8.3088913,8.3,6.0
2019,SP,3546405,35248174,municipal,fundamental,iniciais (1-5),100.0,1.0,255.08,236.46,7.1312642,7.1,6.2
2019,BA,2913705,29374308,municipal,fundamental,iniciais (1-5),88.8,0.87725198,199.53,193.8,5.295886,4.6,5.8
2019,SP,3525904,35248236,municipal,fundamental,iniciais (1-5),100.0,1.0,261.52,250.44,7.5087199,7.5,8.0
2019,BA,2931202,29394074,municipal,fundamental,iniciais (1-5),77.9,0.77638698,183.25,165.3,4.4668269,3.5,4.4
2019,BA,2927408,29434084,municipal,fundamental,iniciais (1-5),87.6,0.88846397,204.85,195.66,5.4310398,4.8,5.7
2019,BA,2911105,29456932,municipal,fundamental,iniciais (1-5),93.9,0.94375598,205.89,197.16,5.478169,5.2,5.1
2019,RJ,3300506,33020990,municipal,fundamental,iniciais (1-5),77.3,0.75671899,246.75,235.72,6.9590311,5.3,4.3
2019,GO,5208707,52035301,estadual,fundamental,iniciais (1-5),99.1,0.98770499,257.77,241.6,7.2762461,7.2,6.7
